Company,Plant,Location,Company Profit,Plant Profit,Benchmark Profit,Capacity,MC,Bid,Market Price,Output,FC,Carbon,Period,Load,Elasticity
Old_Timers,HIGHGROVE,South,92200,2550,300,150,34.5,34.5,51.5,150,0,60,4,6709,-2
Old_Timers,MOHAVE_1,South,92200,20250,9000,750,19.5,19.5,51.5,750,3750,352,4,6709,-2
Old_Timers,MOHAVE_2,South,92200,20250,9000,750,19.5,19.5,51.5,750,3750,352,4,6709,-2
Old_Timers,SAN_BERNADINO,South,92200,1400,0,100,37.5,37.5,51.5,100,0,44,4,6709,-2
Fossil_Light,DIABLO_CANYON_1,North,74325,35000,20000,1000,11.5,11.5,51.5,1000,5000,0,4,6709,-2
Fossil_Light,HELMS,North,74325,37050,25050,800,0.5,17.82,51.5,800,3750,0,4,6709,-2
Fossil_Light,HUMBOLDT,North,74325,2775,525,150,33,35.37,51.5,150,0,57,4,6709,-2
Fossil_Light,HUNTERS_POINT_1-2,North,74325,-250,50,150,34.5,73.63,51.5,0,250,0,4,6709,-2
Fossil_Light,HUNTERS_POINT_4,North,74325,-250,-250,250,53,53,51.5,0,250,0,4,6709,-2
Beachfront,COOLWATER,South,71400,13800,4050,650,29.5,29.5,51.5,650,500,221,4,6709,-2
Beachfront,ELLWOOD,South,71400,0,0,300,52.5,52.5,51.5,0,0,0,4,6709,-2
Beachfront,ETIWANDA_1-4,South,71400,16275,3525,850,30,30,51.5,850,2000,289,4,6709,-2
Beachfront,ETIWANDA_5,South,71400,875,-250,150,44,44,51.5,150,250,75,4,6709,-2
Beachfront,MANDALAY_1-2,South,71400,6950,2450,300,27.5,27.5,51.5,300,250,93,4,6709,-2
Beachfront,MANDALAY_3,South,71400,2000,-250,150,36.5,36.5,51.5,150,250,61,4,6709,-2
Beachfront,ORMOND_BEACH_1,South,71400,15750,5250,700,26.5,26.5,51.5,700,1750,217,4,6709,-2
Beachfront,ORMOND_BEACH_2,South,71400,15750,5250,700,26.5,26.5,51.5,700,1750,217,4,6709,-2
Big_Gas,EL_SEGUNDO_1-2,South,65850,7750,1750,400,31.5,31.5,51.5,400,250,140,4,6709,-2
Big_Gas,EL_SEGUNDO_3-4,South,65850,14375,4625,650,29,29,51.5,650,250,208,4,6709,-2
Big_Gas,ENCINA,South,65850,20875,6625,950,29,29,51.5,950,500,323,4,6709,-2
Big_Gas,KEARNY,South,65850,0,0,200,62.5,62.5,51.5,0,0,0,4,6709,-2
Big_Gas,LONG_BEACH,South,65850,7750,-500,550,36.5,36.5,51.5,550,500,231,4,6709,-2
Big_Gas,NORTH_ISLAND,South,65850,900,0,150,45.5,45.5,51.5,150,0,80,4,6709,-2
Big_Gas,SOUTH_BAY,South,65850,14200,3700,700,30.5,30.5,51.5,700,500,245,4,6709,-2
East_Bay,CONTRA_COSTA_4-5,North,35200,-250,-250,150,40.5,468.14,51.5,0,250,0,4,6709,-2
East_Bay,CONTRA_COSTA_6-7,North,35200,15300,4800,700,27.5,27.5,51.5,700,1500,224,4,6709,-2
East_Bay,PITTSBURGH_1-4,North,35200,14325,4575,650,28.5,28.5,51.5,650,625,214,4,6709,-2
East_Bay,PITTSBURGH_5-6,North,35200,-625,6525,650,25.5,389.96,51.5,0,625,0,4,6709,-2
East_Bay,PITTSBURGH_7,North,35200,6000,-1000,700,41.5,41.5,51.5,700,1000,336,4,6709,-2
East_Bay,POTRERO_HILL,North,35200,450,0,150,48.5,48.5,51.5,150,0,85,4,6709,-2
Bay_Views,MORRO_BAY_1-2,North,19997.5,7707.5,2682.5,335,27,39,51.5,335,500,104,4,6709,-2
Bay_Views,MORRO_BAY_3-4,North,19997.5,16290,6315,665,25.5,40,51.5,665,1000,193,4,6709,-2
Bay_Views,MOSS_LANDING_6,North,19997.5,-2000,8125,750,23,77,51.5,0,2000,0,4,6709,-2
Bay_Views,MOSS_LANDING_7,North,19997.5,-2000,8125,750,23,75,51.5,0,2000,0,4,6709,-2
Bay_Views,OAKLAND,North,19997.5,0,0,150,42.5,57,51.5,0,0,0,4,6709,-2
Fossil_Light,DIABLO_CANYON_1,North,30150,12000,11000,1000,11.5,11.5,28.5,1000,5000,0,1,4020,-2.54
Fossil_Light,HELMS,North,30150,18650,17850,800,0.5,0.5,28.5,800,3750,0,1,4020,-2.54
Fossil_Light,HUMBOLDT,North,30150,0,0,150,33,33,28.5,0,0,0,1,4020,-2.54
Fossil_Light,HUNTERS_POINT_1-2,North,30150,-250,-250,150,34.5,34.5,28.5,0,250,0,1,4020,-2.54
Fossil_Light,HUNTERS_POINT_4,North,30150,-250,-250,250,53,53,28.5,0,250,0,1,4020,-2.54
Old_Timers,BIG_CREEK,South,17250,24750,23750,1000,0,18.54,28.5,1000,3750,0,1,4020,-2.54
Old_Timers,HIGHGROVE,South,17250,0,0,150,34.5,34.5,28.5,0,0,0,1,4020,-2.54
Old_Timers,MOHAVE_1,South,17250,-3750,2250,750,19.5,217.83,28.5,0,3750,0,1,4020,-2.54
Old_Timers,MOHAVE_2,South,17250,-3750,2250,750,19.5,91.39,28.5,0,3750,0,1,4020,-2.54
Old_Timers,SAN_BERNADINO,South,17250,0,0,100,37.5,221.45,28.5,0,0,0,1,4020,-2.54
Big_Coal,ALAMITOS_7,South,13050,0,0,250,51.5,51.5,28.5,0,0,0,1,4020,-2.54
Big_Coal,FOUR_CORNERS,South,13050,16050,14150,1900,19,19,28.5,1900,2000,1045,1,4020,-2.54
Big_Coal,HUNTINGTON_BEACH_1-2,South,13050,-500,-500,300,28.5,28.5,28.5,219,500,70,1,4020,-2.54
Big_Coal,HUNTINGTON_BEACH_5,South,13050,-500,-500,150,46.5,46.5,28.5,0,500,0,1,4020,-2.54
Big_Coal,REDONDO_5-6,South,13050,-750,-750,350,29.5,29.5,28.5,0,750,0,1,4020,-2.54
Big_Coal,REDONDO_7-8,South,13050,-1250,-1250,950,29.5,29.5,28.5,0,1250,0,1,4020,-2.54
Bay_Views,MORRO_BAY_1-2,North,5247.5,2.5,-332.5,335,27,27,28.5,335,500,104,1,4020,-2.54
Bay_Views,MORRO_BAY_3-4,North,5247.5,995,330,665,25.5,25.5,28.5,665,1000,193,1,4020,-2.54
Bay_Views,MOSS_LANDING_6,North,5247.5,2125,1375,750,23,23,28.5,750,2000,188,1,4020,-2.54
Bay_Views,MOSS_LANDING_7,North,5247.5,2125,1375,750,23,23,28.5,750,2000,188,1,4020,-2.54
Bay_Views,OAKLAND,North,5247.5,0,0,150,42.5,42.5,28.5,0,0,0,1,4020,-2.54
East_Bay,CONTRA_COSTA_4-5,North,-1350,-250,-250,150,40.5,40.5,28.5,0,250,0,1,4020,-2.54
East_Bay,CONTRA_COSTA_6-7,North,-1350,-800,-1500,700,27.5,27.5,28.5,700,1500,224,1,4020,-2.54
East_Bay,PITTSBURGH_1-4,North,-1350,-625,-625,650,28.5,28.5,28.5,474,625,156,1,4020,-2.54
East_Bay,PITTSBURGH_5-6,North,-1350,1325,675,650,25.5,25.5,28.5,650,625,188,1,4020,-2.54
East_Bay,PITTSBURGH_7,North,-1350,-1000,-1000,700,41.5,41.5,28.5,0,1000,0,1,4020,-2.54
East_Bay,POTRERO_HILL,North,-1350,0,0,150,48.5,48.5,28.5,0,0,0,1,4020,-2.54
Big_Gas,EL_SEGUNDO_1-2,South,-2000,-250,-250,400,31.5,31.5,28.5,0,250,0,1,4020,-2.54
Big_Gas,EL_SEGUNDO_3-4,South,-2000,-250,-250,650,29,29,28.5,0,250,0,1,4020,-2.54
Big_Gas,ENCINA,South,-2000,-500,-500,950,29,29,28.5,0,500,0,1,4020,-2.54
Big_Gas,KEARNY,South,-2000,0,0,200,62.5,62.5,28.5,0,0,0,1,4020,-2.54
Big_Gas,LONG_BEACH,South,-2000,-500,-500,550,36.5,36.5,28.5,0,500,0,1,4020,-2.54
Big_Gas,NORTH_ISLAND,South,-2000,0,0,150,45.5,45.5,28.5,0,0,0,1,4020,-2.54
Big_Gas,SOUTH_BAY,South,-2000,-500,-500,700,30.5,30.5,28.5,0,500,0,1,4020,-2.54
Beachfront,COOLWATER,South,-3650,-500,-500,650,29.5,29.5,28.5,0,500,0,1,4020,-2.54
Beachfront,ELLWOOD,South,-3650,0,0,300,52.5,52.5,28.5,0,0,0,1,4020,-2.54
Beachfront,ETIWANDA_1-4,South,-3650,-2000,-2000,850,30,30,28.5,0,2000,0,1,4020,-2.54
Beachfront,ETIWANDA_5,South,-3650,-250,-250,150,44,44,28.5,0,250,0,1,4020,-2.54
Beachfront,MANDALAY_1-2,South,-3650,50,-250,300,27.5,27.5,28.5,300,250,93,1,4020,-2.54
Beachfront,MANDALAY_3,South,-3650,-250,-250,150,36.5,36.5,28.5,0,250,0,1,4020,-2.54
Beachfront,ORMOND_BEACH_1,South,-3650,-350,-1050,700,26.5,26.5,28.5,700,1750,217,1,4020,-2.54
Beachfront,ORMOND_BEACH_2,South,-3650,-350,-1050,700,26.5,26.5,28.5,700,1750,217,1,4020,-2.54
Old_Timers,BIG_CREEK,South,38250,27750,25750,1000,0,0,31.5,1000,3750,0,2,4020,-2.41
Old_Timers,HIGHGROVE,South,38250,0,0,150,34.5,34.5,31.5,0,0,0,2,4020,-2.41
Old_Timers,MOHAVE_1,South,38250,5250,3750,750,19.5,19.5,31.5,750,3750,352,2,4020,-2.41
Old_Timers,MOHAVE_2,South,38250,5250,3750,750,19.5,19.5,31.5,750,3750,352,2,4020,-2.41
Old_Timers,SAN_BERNADINO,South,38250,0,0,100,37.5,37.5,31.5,0,0,0,2,4020,-2.41
Big_Coal,ALAMITOS_7,South,22250,0,0,250,51.5,51.5,31.5,0,0,0,2,4020,-2.41
Big_Coal,FOUR_CORNERS,South,22250,21750,17950,1900,19,19,31.5,1900,2000,1045,2,4020,-2.41
Big_Coal,HUNTINGTON_BEACH_1-2,South,22250,400,-200,300,28.5,28.5,31.5,300,500,96,2,4020,-2.41
Big_Coal,HUNTINGTON_BEACH_5,South,22250,-500,-500,150,46.5,46.5,31.5,0,500,0,2,4020,-2.41
Big_Coal,REDONDO_5-6,South,22250,-50,-750,350,29.5,29.5,31.5,350,750,116,2,4020,-2.41
Big_Coal,REDONDO_7-8,South,22250,650,-1250,950,29.5,29.5,31.5,950,1250,314,2,4020,-2.41
Bay_Views,MORRO_BAY_1-2,North,12747.5,1007.5,337.5,335,27,30,31.5,335,500,104,2,4020,-2.41
Bay_Views,MORRO_BAY_3-4,North,12747.5,2990,1660,665,25.5,30,31.5,665,1000,193,2,4020,-2.41
Bay_Views,MOSS_LANDING_6,North,12747.5,4375,2875,750,23,24,31.5,750,2000,188,2,4020,-2.41
Bay_Views,MOSS_LANDING_7,North,12747.5,4375,2875,750,23,24,31.5,750,2000,188,2,4020,-2.41
Bay_Views,OAKLAND,North,12747.5,0,0,150,42.5,50,31.5,0,0,0,2,4020,-2.41
Beachfront,COOLWATER,South,4025,800,-500,650,29.5,29.5,31.5,650,500,221,2,4020,-2.41
Beachfront,ELLWOOD,South,4025,0,0,300,52.5,52.5,31.5,0,0,0,2,4020,-2.41
Beachfront,ETIWANDA_1-4,South,4025,-725,-2000,850,30,30,31.5,850,2000,289,2,4020,-2.41
Beachfront,ETIWANDA_5,South,4025,-250,-250,150,44,44,31.5,0,250,0,2,4020,-2.41
Beachfront,MANDALAY_1-2,South,4025,950,350,300,27.5,27.5,31.5,300,250,93,2,4020,-2.41
Beachfront,MANDALAY_3,South,4025,-250,-250,150,36.5,36.5,31.5,0,250,0,2,4020,-2.41
Beachfront,ORMOND_BEACH_1,South,4025,1750,350,700,26.5,26.5,31.5,700,1750,217,2,4020,-2.41
Beachfront,ORMOND_BEACH_2,South,4025,1750,350,700,26.5,26.5,31.5,700,1750,217,2,4020,-2.41
Big_Gas,EL_SEGUNDO_1-2,South,2700,-250,-250,400,31.5,31.5,31.5,237,250,83,2,4020,-2.41
Big_Gas,EL_SEGUNDO_3-4,South,2700,1375,75,650,29,29,31.5,650,250,208,2,4020,-2.41
Big_Gas,ENCINA,South,2700,1875,-25,950,29,29,31.5,950,500,323,2,4020,-2.41
Big_Gas,KEARNY,South,2700,0,0,200,62.5,62.5,31.5,0,0,0,2,4020,-2.41
Big_Gas,LONG_BEACH,South,2700,-500,-500,550,36.5,36.5,31.5,0,500,0,2,4020,-2.41
Big_Gas,NORTH_ISLAND,South,2700,0,0,150,45.5,45.5,31.5,0,0,0,2,4020,-2.41
Big_Gas,SOUTH_BAY,South,2700,200,-500,700,30.5,30.5,31.5,700,500,245,2,4020,-2.41
East_Bay,CONTRA_COSTA_4-5,North,-100,-250,-250,150,40.5,40.5,31.5,0,250,0,2,4020,-2.41
East_Bay,CONTRA_COSTA_6-7,North,-100,-1500,-100,700,27.5,176.94,31.5,0,1500,0,2,4020,-2.41
East_Bay,PITTSBURGH_1-4,North,-100,-625,25,650,28.5,287.82,31.5,0,625,0,2,4020,-2.41
East_Bay,PITTSBURGH_5-6,North,-100,3275,1975,650,25.5,25.5,31.5,650,625,188,2,4020,-2.41
East_Bay,PITTSBURGH_7,North,-100,-1000,-1000,700,41.5,41.5,31.5,0,1000,0,2,4020,-2.41
East_Bay,POTRERO_HILL,North,-100,0,0,150,48.5,48.5,31.5,0,0,0,2,4020,-2.41
Fossil_Light,DIABLO_CANYON_1,North,-9250,-5000,13000,1000,11.5,500,31.5,0,5000,0,2,4020,-2.41
Fossil_Light,HELMS,North,-9250,-3750,19450,800,0.5,500,31.5,0,3750,0,2,4020,-2.41
Fossil_Light,HUMBOLDT,North,-9250,0,0,150,33,500,31.5,0,0,0,2,4020,-2.41
Fossil_Light,HUNTERS_POINT_1-2,North,-9250,-250,-250,150,34.5,500,31.5,0,250,0,2,4020,-2.41
Fossil_Light,HUNTERS_POINT_4,North,-9250,-250,-250,250,53,500,31.5,0,250,0,2,4020,-2.41
Big_Coal,ALAMITOS_7,South,672150,37125,0,250,51.5,51.5,200,250,0,148,3,8786,-2.54
Big_Coal,FOUR_CORNERS,South,672150,341900,59750,1900,19,19,200,1900,2000,1045,3,8786,-2.54
Big_Coal,HUNTINGTON_BEACH_1-2,South,672150,50950,6400,300,28.5,28.5,200,300,500,96,3,8786,-2.54
Big_Coal,HUNTINGTON_BEACH_5,South,672150,22525,250,150,46.5,46.5,200,150,500,80,3,8786,-2.54
Big_Coal,REDONDO_5-6,South,672150,58925,6950,350,29.5,29.5,200,350,750,116,3,8786,-2.54
Big_Coal,REDONDO_7-8,South,672150,160725,19650,950,29.5,29.5,200,950,1250,314,3,8786,-2.54
Beachfront,COOLWATER,South,635400,110325,13800,650,29.5,29.5,200,650,500,221,3,8786,-2.54
Beachfront,ELLWOOD,South,635400,44250,0,300,52.5,52.5,200,300,0,183,3,8786,-2.54
Beachfront,ETIWANDA_1-4,South,635400,142500,16275,850,30,30,200,850,2000,289,3,8786,-2.54
Beachfront,ETIWANDA_5,South,635400,23150,875,150,44,44,200,150,250,75,3,8786,-2.54
Beachfront,MANDALAY_1-2,South,635400,51500,6950,300,27.5,27.5,200,300,250,93,3,8786,-2.54
Beachfront,MANDALAY_3,South,635400,24275,2000,150,36.5,36.5,200,150,250,61,3,8786,-2.54
Beachfront,ORMOND_BEACH_1,South,635400,119700,15750,700,26.5,26.5,200,700,1750,217,3,8786,-2.54
Beachfront,ORMOND_BEACH_2,South,635400,119700,15750,700,26.5,26.5,200,700,1750,217,3,8786,-2.54
Big_Gas,EL_SEGUNDO_1-2,South,530850,-250,7750,400,31.5,448.87,200,0,250,0,3,8786,-2.54
Big_Gas,EL_SEGUNDO_3-4,South,530850,110900,14375,650,29,29,200,650,250,208,3,8786,-2.54
Big_Gas,ENCINA,South,530850,161950,20875,950,29,132.46,200,950,500,323,3,8786,-2.54
Big_Gas,KEARNY,South,530850,27500,0,200,62.5,62.5,200,200,0,146,3,8786,-2.54
Big_Gas,LONG_BEACH,South,530850,89425,7750,550,36.5,36.5,200,550,500,231,3,8786,-2.54
Big_Gas,NORTH_ISLAND,South,530850,23175,900,150,45.5,45.5,200,150,0,80,3,8786,-2.54
Big_Gas,SOUTH_BAY,South,530850,118150,14200,700,30.5,30.5,200,700,500,245,3,8786,-2.54
Old_Timers,BIG_CREEK,South,500575,196250,47750,1000,0,0,200,1000,3750,0,3,8786,-2.54
Old_Timers,HIGHGROVE,South,500575,24825,2550,150,34.5,34.5,200,150,0,60,3,8786,-2.54
Old_Timers,MOHAVE_1,South,500575,131625,20250,750,19.5,19.5,200,750,3750,352,3,8786,-2.54
Old_Timers,MOHAVE_2,South,500575,131625,20250,750,19.5,19.5,200,750,3750,352,3,8786,-2.54
Old_Timers,SAN_BERNADINO,South,500575,16250,1400,100,37.5,37.5,200,100,0,44,3,8786,-2.54
East_Bay,CONTRA_COSTA_4-5,North,499250,23675,1400,150,40.5,40.5,200,150,250,70,3,8786,-2.54
East_Bay,CONTRA_COSTA_6-7,North,499250,119250,15300,700,27.5,27.5,200,700,1500,224,3,8786,-2.54
East_Bay,PITTSBURGH_1-4,North,499250,110850,14325,650,28.5,28.5,200,650,625,214,3,8786,-2.54
East_Bay,PITTSBURGH_5-6,North,499250,112800,16275,650,25.5,25.5,200,650,625,188,3,8786,-2.54
East_Bay,PITTSBURGH_7,North,499250,109950,6000,700,41.5,41.5,200,700,1000,336,3,8786,-2.54
East_Bay,POTRERO_HILL,North,499250,22725,450,150,48.5,48.5,200,150,0,85,3,8786,-2.54
Fossil_Light,DIABLO_CANYON_1,North,425475,183500,35000,1000,11.5,11.5,200,1000,5000,0,3,8786,-2.54
Fossil_Light,HELMS,North,425475,155850,37050,800,0.5,0.5,200,800,3750,0,3,8786,-2.54
Fossil_Light,HUMBOLDT,North,425475,25050,2775,150,33,33,200,150,0,57,3,8786,-2.54
Fossil_Light,HUNTERS_POINT_1-2,North,425475,24575,2300,150,34.5,34.5,200,150,250,58,3,8786,-2.54
Fossil_Light,HUNTERS_POINT_4,North,425475,36500,-250,250,53,53,200,250,250,152,3,8786,-2.54
Bay_Views,MORRO_BAY_1-2,North,289831.92,57455,7707.5,335,27,150,200,335,500,104,3,8786,-2.54
Bay_Views,MORRO_BAY_3-4,North,289831.92,64010.6,16290,665,25.5,200,200,373,1000,108,3,8786,-2.54
Bay_Views,MOSS_LANDING_6,North,289831.92,72370.66,19375,750,23,200,200,420,2000,105,3,8786,-2.54
Bay_Views,MOSS_LANDING_7,North,289831.92,72370.66,19375,750,23,200,200,420,2000,105,3,8786,-2.54
Bay_Views,OAKLAND,North,289831.92,23625,1350,150,42.5,150,200,150,0,75,3,8786,-2.54
Big_Coal,ALAMITOS_7,South,93000,0,0,250,51.5,51.5,51.5,172,0,101,4,6709,-2
Big_Coal,FOUR_CORNERS,South,93000,59750,31250,1900,19,19,51.5,1900,2000,1045,4,6709,-2
Big_Coal,HUNTINGTON_BEACH_1-2,South,93000,6400,1900,300,28.5,28.5,51.5,300,500,96,4,6709,-2
Big_Coal,HUNTINGTON_BEACH_5,South,93000,250,-500,150,46.5,46.5,51.5,150,500,80,4,6709,-2
Big_Coal,REDONDO_5-6,South,93000,6950,1700,350,29.5,29.5,51.5,350,750,116,4,6709,-2
Big_Coal,REDONDO_7-8,South,93000,19650,5400,950,29.5,29.5,51.5,950,1250,314,4,6709,-2
Old_Timers,BIG_CREEK,South,92200,47750,32750,1000,0,0,51.5,1000,3750,0,4,6709,-2
Old_Timers,HIGHGROVE,South,92200,2550,300,150,34.5,34.5,51.5,150,0,60,4,6709,-2
Old_Timers,MOHAVE_1,South,92200,20250,9000,750,19.5,19.5,51.5,750,3750,352,4,6709,-2
Old_Timers,MOHAVE_2,South,92200,20250,9000,750,19.5,19.5,51.5,750,3750,352,4,6709,-2
Old_Timers,SAN_BERNADINO,South,92200,1400,0,100,37.5,37.5,51.5,100,0,44,4,6709,-2
Fossil_Light,DIABLO_CANYON_1,North,74325,35000,20000,1000,11.5,11.5,51.5,1000,5000,0,4,6709,-2
Fossil_Light,HELMS,North,74325,37050,25050,800,0.5,17.82,51.5,800,3750,0,4,6709,-2
Fossil_Light,HUMBOLDT,North,74325,2775,525,150,33,35.37,51.5,150,0,57,4,6709,-2
Fossil_Light,HUNTERS_POINT_1-2,North,74325,-250,50,150,34.5,73.63,51.5,0,250,0,4,6709,-2
Fossil_Light,HUNTERS_POINT_4,North,74325,-250,-250,250,53,53,51.5,0,250,0,4,6709,-2
Beachfront,COOLWATER,South,71400,13800,4050,650,29.5,29.5,51.5,650,500,221,4,6709,-2
Beachfront,ELLWOOD,South,71400,0,0,300,52.5,52.5,51.5,0,0,0,4,6709,-2
Beachfront,ETIWANDA_1-4,South,71400,16275,3525,850,30,30,51.5,850,2000,289,4,6709,-2
Beachfront,ETIWANDA_5,South,71400,875,-250,150,44,44,51.5,150,250,75,4,6709,-2
Beachfront,MANDALAY_1-2,South,71400,6950,2450,300,27.5,27.5,51.5,300,250,93,4,6709,-2
Beachfront,MANDALAY_3,South,71400,2000,-250,150,36.5,36.5,51.5,150,250,61,4,6709,-2
Beachfront,ORMOND_BEACH_1,South,71400,15750,5250,700,26.5,26.5,51.5,700,1750,217,4,6709,-2
Beachfront,ORMOND_BEACH_2,South,71400,15750,5250,700,26.5,26.5,51.5,700,1750,217,4,6709,-2
Big_Gas,EL_SEGUNDO_1-2,South,65850,7750,1750,400,31.5,31.5,51.5,400,250,140,4,6709,-2
Big_Gas,EL_SEGUNDO_3-4,South,65850,14375,4625,650,29,29,51.5,650,250,208,4,6709,-2
